player_id,player_name,positions,def_ff,def_fr,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
ilias-werner-maragos,Ilias Werner Maragos,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
irvin-santana,Irvin Santana,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
ivan-gutierrez,Iván Gutiérrez,LB,,1.0,,,8.0,,,9.0,,,,,,,,,,,1.0,,11.0,,,,,,,,
ivan-iordanov,Iván Iordanov,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
jacek-wszo,Jacek Wszół,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
jacob-templar,Jacob Templar,WR,,,,,1.0,,,10.0,,,,,,,,,,,,,,30.0,1106.0,13.0,1.0,167.0,3.0,1.0,3.0
jacob-wright,Jacob Wright,QB,,,,,,,,2.0,,,,57.0,29.0,1.0,3.0,366.0,,,,,,,,,,,20.0,2.0,147.0
jadrian-alexander-clark,Jadrian Alexander Clark,QB,,,,,1.0,,,11.0,,,,284.0,175.0,12.0,17.0,1969.0,,,,,,,,1.0,,12.0,61.0,3.0,256.0
jai-albert-lloyd-jackson,Jai-Albert Lloyd Jackson,,,,,0.5,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
jakeb-sullivan,Jakeb Sullivan,QB,,,,,1.0,,,11.0,,,,318.0,211.0,8.0,32.0,2609.0,,,,,,,,,,,54.0,6.0,191.0
jakub-chwalinski,Jakub Chwalinski,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
jakub-halicki,Jakub Halicki,S,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
jakub-mazan,Jakub Mazan,,,,,,2.0,,,11.0,9.0,,147.0,,,,,,,,5.0,,51.0,,,56.0,6.0,832.0,8.0,1.0,20.0
jakub-wasiel,Jakub Wąsiel,WR,,,,,,,,8.0,,,,,,,,,,,,,,,,3.0,,41.0,,,
jaleel-awini,Jaleel Awini,QB,,,,,,,,10.0,,,,71.0,38.0,4.0,5.0,527.0,,,,,,,,20.0,2.0,230.0,58.0,1.0,345.0
jamaal-white,Jamaal White,LB,,2.0,4.0,,48.0,,,8.0,9.0,,285.0,,,,,,,,2.0,,,,,,,,,,
jan-chmiel,Jan Chmiel,LB,,,,,7.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
jan-frank-weinreich,Jan Frank Weinreich,QB,,,,,,,,10.0,,,,248.0,139.0,6.0,16.0,1809.0,,,,,,,,,,,25.0,4.0,40.0
jan-korkuc,Jan Korkuć,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
jan-raus,Jan Rauš,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
jan-steiger,Jan Steiger,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
jan-hendrik-hoffmeyer,Jan-Hendrik Hoffmeyer,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
jan-niclas-dalbeck,Jan-Niclas Dalbeck,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
jan-phillip-bombek,Jan-Phillip Bombek,LB,,,1.0,11.0,37.0,,,7.0,1.0,,13.0,,,,,,,,,,,,,,,,,,
janis-lou-schmarmer,Janis Lou Schmarmer,,,,,,4.0,,,7.0,,,,,,,,,,,,,,,,,,,1.0,,2.0
jannik-lorcks,Jannik Lörcks,WR,,1.0,,,1.0,,,10.0,1.0,,,,,,,,,,,,,,,5.0,1.0,28.0,,,
jannik-nowak-2,Jannik Nowak,QB,,,,,1.0,,,10.0,,,,11.0,3.0,1.0,,27.0,,,,,,,,,,,9.0,,57.0
jannik-seibel,Jannik Seibel,LB/DB,,,1.0,,18.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
jannik-werblow,Jannik Werblow,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
